% This MetaLexicon was created by taking the union of the following manually created lexical resources:
%
%   1. AFINN
%   2. NRC Word-Emotion Association Lexicon (words with no emotion associations are taken as neutral)
%   3. Bing Liu's Opinion Lexicon
%   4. MPQA Subjectivity Lexicon
%
% We discarded all the words where a polarity clash between two or more lexicons was observed.

@relation 'MetaLex'

@attribute term string
@attribute polarity {negative,neutral,positive}

@data
heroine,positive
heroism,positive
heroize,positive
heros,positive
herpes,negative
herpesvirus,negative
hesitant,negative
hesitate,negative
hesitating,neutral
hesitation,negative
hestitant,negative
heterogeneity,neutral
hew,neutral
hexagon,neutral
heyday,positive
hiatus,neutral
hibernate,neutral
hibernation,neutral
hiccup,neutral
hid,negative
hidden,negative
hide,negative
hideous,negative
hideously,negative
hideousness,negative
hides,negative
hiding,negative
hierarchical,neutral
high,neutral
high-powered,neutral
high-priced,negative
high-quality,positive
high-spirited,positive
higher,neutral
highland,neutral
highlands,neutral
highlight,positive
hight,neutral
highway,neutral
hiker,neutral
hilarious,positive
hilariously,positive
hilariousness,positive
hilarity,positive
hiliarious,negative
hill,neutral
hilly,neutral
hilt,neutral
hind,neutral
hinder,negative
hindering,negative
hindrance,negative
hinge,neutral
hint,neutral
hinterland,neutral
hip,neutral
hippie,negative
hire,positive
hirsute,neutral
hiss,negative
hissed,negative
hissing,negative
histology,neutral
historian,neutral
historiography,neutral
history,neutral
hit,negative
hitherto,negative
hive,negative
hm,neutral
hmm,neutral
ho-hum,negative
hoarse,negative
hoary,negative
hoax,negative
hob,neutral
hobble,negative
hobby,positive
hobo,negative
hockey,neutral
hoe,neutral
hog,negative
hogs,negative
hoist,neutral
hold,neutral
holder,neutral
holding,neutral
holiday,positive
holiness,positive
hollow,negative
holocaust,negative
holy,positive
homage,positive
homeless,negative
homeopathic,neutral
homeopathy,neutral
homesick,negative
homestead,neutral
homicidal,negative
homicide,negative
homily,neutral
homogeneity,neutral
homogeneous,neutral
homologous,neutral
homologue,neutral
homology,positive
homosexual,neutral
homosexuality,negative
hone,neutral
honest,positive
honestly,positive
honesty,positive
honey,positive
honeycomb,neutral
honeymoon,positive
honeysuckle,neutral
honor,positive
honorable,positive
honorarium,neutral
honored,positive
honoring,positive
honour,positive
honoured,positive
honouring,positive
hood,negative
hoodium,negative
hoodwink,negative
hoof,neutral
hook,neutral
hooked,negative
hooker,neutral
hooligan,negative
hooliganism,negative
hooligans,negative
hoop,neutral
hooray,positive
hoot,negative
hop,neutral
hope,positive
hopeful,positive
hopefully,positive
hopefulness,positive
hopeless,negative
hopelessly,negative
hopelessness,negative
hopper,neutral
horde,negative
horizon,positive
horizontal,neutral
horizontally,neutral
horn,neutral
hornet,neutral
horny,neutral
horrendous,negative
horrendously,negative
horrible,negative
horribly,negative
horrid,negative
horrific,negative
horrifically,negative
horrified,negative
horrifies,negative
horrify,negative
horrifying,negative
horrifyingly,negative
horrifys,negative
horror,negative
horrors,negative
horseman,neutral
horseshoe,neutral
horticultural,neutral
horticulture,neutral
hose,neutral
hosiery,neutral
hospitable,positive
hospitality,positive
hostage,negative
hostel,neutral
hostile,negative
hostilities,negative
hostility,negative
hot,positive
hotbed,neutral
hotbeds,negative
hotcake,positive
hotcakes,positive
hotel,neutral
hothead,negative
hotheaded,negative
hothouse,negative
hottest,positive
hour,neutral
hourglass,neutral
hourly,neutral
house,neutral
household,positive
householder,neutral
housekeeper,neutral
housekeeping,positive
housewife,neutral
housing,neutral
hovercraft,neutral
however,neutral
howl,negative
howsoever,neutral
hoy,neutral
hub,neutral
hubris,negative
huckster,negative
huddle,neutral
hue,neutral
huff,negative
hug,positive
hugs,positive
hull,neutral
human,neutral
humane,positive
humanists,positive
humanitarian,positive
humanities,neutral
humanity,positive
humankind,positive
humbled,positive
humbling,negative
humbly,positive
humbug,negative
humerous,positive
humidity,neutral
humiliate,negative
humiliated,negative
humiliating,negative
humiliation,negative
humility,positive
hummer,neutral
humming,negative
hummingbird,neutral
humongous,neutral
humor,positive
humorist,positive
humorous,positive
humorously,positive
humour,positive
humourous,positive
hump,neutral
hunch,negative
hundred,neutral
hundredth,neutral
hung,negative
hungry,negative
hunk,neutral
hunks,neutral
hunt,neutral
hunter,negative
hunting,negative
hurl,neutral
hurrah,positive
hurricane,negative
hurried,negative
hurt,negative
hurted,negative
hurtful,negative
hurting,negative
hurts,negative
husbandry,positive
hush,positive
hushed,neutral
husk,neutral
husky,neutral
hustle,neutral
hustler,negative
hut,positive
hutch,neutral
hyacinth,neutral
hybrid,neutral
hydra,negative
hydraulics,neutral
hydrocephalus,negative
hydrodynamics,neutral
hydrogen,neutral
hydrographic,neutral
hydrology,neutral
hygiene,neutral
hygienic,positive
hymn,positive
hype,negative
hyperbole,negative
hyphen,neutral
hypnotic,neutral
hypnotize,neutral
hypnotized,neutral
hypocricy,negative
hypocrisy,negative
hypocrite,negative
hypocrites,negative
hypocritical,negative
hypocritically,negative
hypothetical,neutral
hysteria,negative
hysteric,negative
hysterical,negative
hysterically,negative
hysterics,negative
ice,neutral
iceberg,neutral
icon,neutral
iconic,neutral
iconography,neutral
idea,neutral
ideal,positive
idealism,positive
idealize,positive
ideally,positive
identical,neutral
identically,neutral
identification,neutral
identify,neutral
identity,neutral
ideology,neutral
idiocies,negative
idiocy,negative
idiom,neutral
idiomatic,neutral
idiot,negative
idiotic,negative
idiotically,negative
idiots,negative
idleness,neutral
idler,negative
idol,positive
idolatry,negative
idolize,positive
idolized,positive
idyllic,positive
igloo,neutral
igneous,neutral
ignite,neutral
ignition,neutral
ignoble,negative
ignominious,negative
ignominiously,negative
ignominy,negative
ignorance,negative
ignorant,negative
ignore,negative
ignored,negative
ignores,negative
ilk,neutral
ill,negative
ill-advised,negative
ill-conceived,negative
ill-defined,negative
ill-designed,negative
ill-fated,negative
ill-favored,negative
ill-formed,negative
ill-mannered,negative
ill-natured,negative
ill-sorted,negative
ill-tempered,negative
ill-treated,negative
ill-treatment,negative
ill-usage,negative
ill-used,negative
illegal,negative
illegality,negative
illegible,negative
illegitimate,negative
illicit,negative
illiquid,negative
illiteracy,negative
illiterate,negative
illness,negative
illnesses,negative
illogic,negative
illogical,negative
illogically,negative
illuminate,positive
illuminati,positive
illuminating,positive
illumination,positive
illuminator,neutral
illumine,positive
illusion,negative
illusions,negative
illusory,negative
illustrate,positive
illustration,neutral
illustrative,neutral
illustrious,positive
ilu,positive
imaculate,positive
image,neutral
imagery,neutral
imagination,neutral
imaginative,positive
imagine,neutral
imagined,neutral
imagining,neutral
imam,neutral
imbalance,negative
imbecile,negative
imbedded,neutral
imbroglio,negative
imitate,neutral
imitated,negative
imitation,negative
immaculate,positive
immaculately,positive
immature,negative
immaturity,negative
immeasurable,neutral
immeasurably,neutral
immediate,neutral
immemorial,neutral
immensely,neutral
immensity,neutral
immensurable,neutral
immerse,positive
immersion,neutral
immigration,neutral
imminence,negative
imminent,negative
imminently,negative
immobilized,negative
immoderate,negative
immoderately,negative
immodest,negative
immoral,negative
immorality,negative
immorally,negative
immortal,positive
immunity,neutral
immutable,neutral
imp,neutral
impact,neutral
impair,negative
impaired,negative
impairment,negative
impart,positive
impartial,positive
impartiality,positive
impartially,positive
impassable,negative
impasse,negative
impassive,negative
impatience,negative
impatient,negative
impatiently,negative
impeach,negative
impeachment,negative
impeccable,positive
impeccably,positive
impedance,negative
impede,negative
impel,positive
impelled,neutral
impending,negative
impenitent,negative
imperative,neutral
imperatively,neutral
imperceptible,neutral
imperfect,negative
imperfection,negative
imperfections,negative
imperfectly,negative
imperialist,negative
imperil,negative
imperious,negative
imperiously,negative
impersonate,negative
impersonation,negative
impertinent,negative
imperturbable,positive
impervious,positive
impetuous,negative
impetuously,negative
impiety,negative
impinge,negative
impious,negative
implacable,negative
implant,neutral
implantation,neutral
implanted,neutral
implausible,negative
implausibly,negative
implement,neutral
implicate,negative
implicated,neutral
implicit,neutral
implied,neutral
implode,negative
implore,neutral
implosion,neutral
imply,neutral
impolite,negative
impolitely,negative
impolitic,negative
import,neutral
importance,positive
important,positive
importantly,positive
importation,neutral
importunate,negative
importune,negative
imposed,negative
imposers,negative
imposes,negative
imposition,negative
impossibility,neutral
impossible,negative
impossiblity,negative
impossibly,negative
impotence,negative
impotent,negative
impound,negative
impoverish,negative
impoverished,negative
impracticable,negative
impractical,negative
imprecate,negative
imprecise,negative
imprecisely,negative
imprecision,negative
impregnable,positive
impress,positive
impressed,positive
impresses,positive
impression,positive
impressions,positive
impressive,positive
impressively,positive
impressiveness,positive
imprint,neutral
imprison,negative
imprisoned,negative
imprisonment,negative
improbability,negative
improbably,negative
impromptu,neutral
improper,negative
improperly,negative
impropriety,negative
improve,positive
improved,positive
improvement,positive
improvements,positive
improves,positive
improving,positive
improvise,positive
improvised,neutral
imprudence,negative
imprudent,negative
impudence,negative
impudent,negative
impudently,negative
impugn,negative
impulse,neutral
impulsive,negative
impulsively,negative
impure,negative
impurity,negative
imputation,negative
inability,negative
inaccessible,negative
inaccuracies,negative
inaccuracy,negative
inaccurate,negative
inaccurately,negative
inaction,negative
inactivate,neutral
inactivation,neutral
inactivity,negative
inadequacy,negative
inadequate,negative
inadequately,negative
inadmissible,negative
inadverent,negative
inadverently,negative
inadvertent,neutral
inadvertently,neutral
inadvisable,negative
inadvisably,negative
inalienable,positive
inane,negative
inanely,negative
inanimate,neutral
inapplicable,negative
inappropriate,negative
inappropriately,negative
inapt,negative
inaptitude,negative
inarguable,neutral
inarguably,neutral
inarticulate,negative
inattention,negative
inattentive,negative
inaudible,negative
inaugurate,neutral
inauguration,positive
inborn,neutral
inbred,neutral
incalculable,negative
incandescent,neutral
incapably,negative
incapacitated,negative
incapacity,negative
incarceration,negative
incase,negative
incautious,negative
incendiary,negative
incense,negative
incensed,negative
incentive,neutral
inception,neutral
incessant,negative
incest,negative
incestuous,negative
inch,neutral
incidence,neutral
incidentally,neutral
incineration,negative
incipient,neutral
incision,neutral
incisive,positive
incisively,positive
incisiveness,positive
incite,negative
incivility,negative
inclement,negative
inclinations,positive
include,positive
included,positive
including,positive
inclusive,positive
incognito,neutral
incognizant,negative
incoherence,negative
incoherent,negative
incoherently,negative
incoming,neutral
incommensurate,negative
incomparable,negative
incomparably,negative
incompatability,negative
incompatibility,negative
incompatible,negative
incompetence,negative
incompetent,negative
incompetently,negative
incomplete,negative
incompletely,neutral
incompleteness,negative
incompliant,negative
incomprehensible,negative
incomprehension,negative
inconceivable,negative
inconceivably,negative
incongruous,negative
incongruously,negative
inconsequent,negative
inconsequential,negative
inconsequentially,negative
inconsequently,negative
inconsiderate,negative
inconsiderately,negative
inconsistence,negative
inconsistencies,negative
inconsistency,negative
inconsistent,negative
inconsolable,negative
inconsolably,negative
inconspicuous,neutral
inconstant,negative
incontestable,positive
incontrovertible,positive
inconvenience,negative
inconvenient,negative
inconveniently,negative
incorporate,neutral
incorporation,neutral
incorrect,negative
incorrectly,negative
incorrigible,negative
incorrigibly,negative
incorruptible,positive
increase,positive
increasing,neutral
increasingly,neutral
incredible,positive
incredibly,positive
incredulous,negative
incredulously,negative
increment,neutral
incrimination,negative
incubation,neutral
incubus,negative
inculcate,negative
incur,negative
incurable,negative
incursion,negative
indecency,negative
indecent,negative
indecently,negative
indecision,negative
indecisive,negative
indecisively,negative
indecorum,negative
indeed,neutral
indefatigable,positive
indefensible,negative
indefinite,negative
indefinitely,negative
indelible,positive
indelibly,positive
indelicate,negative
indemnification,neutral
indemnify,negative
indemnity,positive
indentation,neutral
indenture,negative
independence,positive
indescribably,positive
indestructible,positive
indeterminable,negative
indeterminably,negative
indeterminate,negative
index,neutral
indicating,neutral
indication,neutral
indicative,neutral
indicator,neutral
indice,neutral
indict,negative
indictment,negative
indifference,negative
indifferent,negative
indigenous,neutral
indigent,negative
indigestion,neutral
indignant,negative
indignantly,negative
indignation,negative
indignity,negative
indigo,neutral
indirect,neutral
indiscernible,negative
indiscreet,negative
indiscreetly,negative
indiscretion,negative
indiscriminate,negative
indiscriminately,negative
indiscriminating,negative
indispensability,positive
indisposed,negative
indisputable,positive
indistinct,negative
indistinctive,negative
individuality,positive
individualized,positive
indoctrinate,negative
indoctrinated,negative
indoctrinates,negative
indoctrinating,negative
indoctrination,negative
indolent,negative
indomitable,positive
indomitably,positive
indoor,neutral
indubitable,positive
indubitably,positive
induce,neutral
induced,neutral
inducement,neutral
induction,neutral
industry,neutral
ineffable,positive
ineffective,negative
ineffectively,negative
ineffectiveness,negative
ineffectual,negative
ineffectually,negative
ineffectualness,negative
inefficacious,negative
inefficacy,negative
inefficiency,negative
inefficient,negative
inefficiently,negative
inelastic,neutral
inelegance,negative
inelegant,negative
ineloquent,negative
ineloquently,negative
inept,negative
ineptitude,negative
ineptly,negative
inequalities,negative
inequality,negative
inequitable,negative
inequitably,negative
inequities,negative
inert,negative
inescapable,negative
inescapably,negative
inessential,negative
inestimable,positive
inestimably,positive
inevitably,negative
inexcusable,negative
inexcusably,negative
inexhaustible,neutral
inexorable,negative
inexorably,negative
inexpensive,positive
inexperience,negative
inexperienced,negative
inexpert,negative
inexpertly,negative
inexpiable,negative
inexplainable,negative
inexplicable,negative
inextricable,negative
inextricably,negative
infallibility,positive
infallible,positive
infallibly,positive
infamous,negative
infamously,negative
infamy,negative
infancy,neutral
infant,positive
infanticide,negative
infantile,negative
infantry,neutral
infarct,negative
infatuated,positive
infeasible,neutral
infect,negative
infected,negative
infection,negative
infections,negative
infer,neutral
inference,neutral
inferential,neutral
inferior,negative
inferiority,negative
infernal,negative
inferno,negative
infertile,neutral
infertility,negative
infest,negative
infestation,negative
infested,negative
infidel,negative
infidelity,negative
infidels,negative
infiltrator,negative
infiltrators,negative
infinite,positive
infinitely,neutral
infinitesimal,neutral
infinity,positive
infirm,negative
infirmary,neutral
infirmity,negative
inflame,negative
inflamed,negative
inflammation,negative
inflammatory,negative
inflammed,negative
inflated,negative
inflation,negative
inflationary,negative
inflection,neutral
inflexible,negative
inflict,negative
infliction,negative
inflorescence,neutral
influential,positive
influenza,negative
influx,neutral
informal,neutral
informant,neutral
information,positive
informational,neutral
informative,positive
informed,neutral
informer,negative
infraction,negative
infrequently,negative
infringe,negative
infringement,negative
infringements,negative
infuriate,negative
infuriated,negative
infuriates,negative
infuriating,negative
infuriatingly,negative
infuse,neutral
infused,neutral
infusion,neutral
ingenious,positive
ingeniously,positive
ingenuous,positive
ingenuously,positive
ingest,neutral
ingestion,neutral
inglorious,negative
ingot,neutral
ingrained,neutral
ingrate,negative
ingratiate,positive
ingratiating,positive
ingratiatingly,positive
ingratitude,negative
ingredient,neutral
ingress,neutral
inhabit,neutral
inhabitant,neutral
inhabited,neutral
inhabiting,neutral
inhalation,neutral
inhale,neutral
inherent,neutral
inherit,neutral
inheritance,positive
inhibit,negative
inhospitable,negative
inhospitality,negative
inhuman,negative
inhumane,negative
inhumanity,negative
inimical,negative
inimically,negative
inimitable,positive
iniquitous,negative
iniquity,negative
initial,neutral
initiate,neutral
initiated,neutral
initiative,neutral
inject,neutral
injudicious,negative
injunction,negative
injure,negative
injured,negative
injurious,negative
injury,negative
injustice,negative
injustices,negative
ink,neutral
inkling,neutral
inklings,neutral
inland,neutral
inlay,neutral
inlet,neutral
inmate,negative
inn,neutral
innate,neutral
innermost,neutral
innings,neutral
innkeeper,neutral
innocence,positive
innocent,positive
innocently,positive
innocuous,positive
innovate,positive
innovates,positive
innovation,positive
innovative,positive
innumerable,neutral
innumerably,neutral
innumerous,neutral
inoffensive,positive
inoperable,negative
inoperative,negative
inopportune,negative
inordinately,negative
inorganic,neutral
inpressed,positive
inquest,neutral
inquire,neutral
inquirer,positive
inquiring,neutral
inquiry,positive
inquisition,negative
inquisitive,positive
insane,negative
insanely,negative
insanity,negative
insatiable,negative
inscription,neutral
inscrutable,neutral
insect,neutral
insecure,negative
insecurity,negative
insensible,negative
insensitive,negative
insensitively,negative
insensitivity,negative
inseparable,positive
insert,neutral
inserted,neutral
insertion,neutral
inside,neutral
insidious,negative
insidiously,negative
insightful,positive
insightfully,positive
insights,neutral
insignia,positive
insignificance,negative
insignificant,negative
insignificantly,negative
insincere,negative
insincerely,negative
insincerity,negative
insinuate,negative
insinuating,negative
insinuation,negative
insipid,negative
insistence,positive
insistent,positive
insistently,positive
insociable,negative
insolence,negative
insolent,negative
insolently,negative
insoluble,neutral
insolvency,negative
insolvent,negative
insouciance,negative
inspect,neutral
inspector,positive
inspiration,positive
inspirational,positive
inspire,positive
inspired,positive
inspires,positive
inspiring,positive
instability,negative
instable,negative
installation,neutral
installment,neutral
instance,neutral
instant,neutral
instantaneous,neutral
instantaneously,neutral
instantly,positive
instigate,negative
instigation,negative
instigator,negative
instigators,negative
instill,neutral
instinct,neutral
instinctive,positive
institution,neutral
instruct,positive
instructed,neutral
instruction,positive
instructional,neutral
instructor,positive
instrument,neutral
instrumental,positive
instrumentalist,neutral
instrumentality,neutral
insubordinate,negative
insubstantial,negative
insubstantially,negative
insufferable,negative
insufferably,negative
insufficiency,negative
insufficient,negative
insufficiently,negative
insulate,neutral
insult,negative
insulted,negative
insulting,negative
insultingly,negative
insults,negative
insupportable,negative
insupportably,negative
insurance,neutral
insure,positive
insurgent,negative
insurmountable,negative
insurmountably,negative
insurrection,negative
intact,positive
intangible,neutral
intefere,negative
inteferes,negative
integer,neutral
integrate,neutral
integrated,positive
integration,neutral
integrity,positive
intellect,positive
intellectual,positive
intelligence,positive
intelligent,positive
intelligibility,neutral
intend,neutral
intended,positive
intending,neutral
intensely,neutral
intensify,neutral
intensity,neutral
intensive,neutral
intensively,neutral
intent,neutral
intention,neutral
intentional,neutral
intentionally,neutral
intentions,neutral
intents,neutral
inter,negative
interaction,neutral
intercede,positive
intercept,neutral
interception,neutral
interchange,neutral
interchangeable,neutral
interchanged,neutral
intercom,neutral
intercourse,positive
interdependence,neutral
interdependent,neutral
interdiction,negative
interest,positive
interested,positive
interesting,positive
interests,positive
interfere,negative
interference,negative
interferes,negative
interferometer,neutral
interior,positive
interlocutory,positive
interlude,positive
intermediary,neutral
intermediate,neutral
interment,negative
intern,neutral
internal,neutral
internally,neutral
international,neutral
interpolate,neutral
interpolation,neutral
interpret,neutral
interpretation,neutral
interpreter,neutral
interrelated,neutral
interrogated,negative
interrupt,negative
interrupted,negative
interrupting,negative
interruptions,negative
interrupts,negative
intersect,neutral
intersection,neutral
interstitial,neutral
interval,neutral
intervening,neutral
interview,neutral
interworking,neutral
intestate,negative
intestine,neutral
intestines,neutral
intimation,neutral
intimidate,negative
intimidated,negative
intimidates,negative
intimidating,negative
intimidatingly,negative
intimidation,negative
intolerable,negative
intolerablely,negative
intolerance,negative
intolerant,negative
intonation,positive
intoxicate,negative
intoxicated,negative
intoxication,neutral
intractable,negative
intramural,neutral
intransigence,negative
intransigent,negative
intrepid,positive
intrigues,positive
intriguingly,positive
intrinsic,neutral
intrinsically,neutral
introduction,neutral
introductory,neutral
introspection,neutral
introspective,neutral
intrude,negative
intruder,negative
intrusion,negative
intrusive,negative
intuition,positive
intuitive,positive
inundate,negative
inundated,negative
inundation,neutral
invade,negative
invader,negative
invalid,negative
invalidate,negative
invalidation,negative
invalidity,negative
invaluablely,positive
invariably,positive
invasion,negative
invasive,negative
invective,negative
inveigle,negative
invent,neutral
invention,neutral
inventive,positive
inventor,positive
inventory,neutral
inverse,neutral
inversely,neutral
inversion,neutral
invert,neutral
inverted,neutral
investigate,positive
investigator,neutral
investor,neutral
invidious,negative
invidiously,negative
invidiousness,negative
invigorate,positive
invigorating,positive
invincibility,positive
inviolable,positive
inviolate,positive
invisibility,neutral
invitation,positive
invite,positive
inviting,positive
invoice,neutral
involuntarily,negative
involuntary,negative
involution,negative
invulnerable,positive
inwards,neutral
iota,neutral
irascible,negative
irate,negative
irately,negative
ire,negative
iridescent,neutral
irk,negative
irked,negative
irking,negative
irks,negative
irksome,negative
irksomely,negative
irksomeness,negative
irksomenesses,negative
iron,positive
ironical,negative
ironically,negative
ironies,negative
irons,negative
irradiation,neutral
irragularity,negative
irrational,negative
irrationalities,negative
irrationality,negative
irrationally,negative
irrationals,negative
irreconcilable,negative
irrecoverable,negative
irrecoverableness,negative
irrecoverablenesses,negative
irrecoverably,negative
irredeemable,negative
irredeemably,negative
irreducible,positive
irreformable,negative
irrefutable,positive
irrefutably,positive
irregardless,neutral
irregular,negative
irregularity,negative
irregularly,neutral
irrelevance,negative
irrelevant,negative
irreparable,negative
irreplaceable,positive
irreplacible,negative
irreproachable,positive
irresistibly,positive
irresolute,negative
irresolvable,negative
irrespective,neutral
irresponsibly,negative
irretating,negative
irretrievable,negative
irreverence,negative
irreverent,negative
irreverently,negative
irrevocable,negative
irrigate,neutral
irrigation,neutral
irritability,negative
irritable,negative
irritably,negative
irritant,negative
irritate,negative
irritated,negative
irritating,negative
irritation,negative
irritations,negative
island,neutral
isle,neutral
islet,neutral
isolate,negative
isolated,negative
isolation,negative
isomorphism,neutral
isothermal,neutral
issue-free,positive
issues,negative
itchy,negative
item,neutral
itemize,neutral
items,neutral
iterate,neutral
iteration,neutral
iterative,neutral
itinerant,neutral
itinerary,neutral
ivory,neutral
jabber,negative
jack,neutral
jackasses,negative
jackpot,positive
jacks,neutral
jade,neutral
jaded,negative
jag,neutral
jaguar,neutral
jail,negative
jailed,negative
jammed,neutral
japan,neutral
jargon,negative
jarring,negative
jasper,neutral
jaundice,negative
jaundiced,negative
jaunt,neutral
jauntily,positive
jaunty,positive
javelin,neutral
jaw,neutral
jaw-droping,positive
jaw-dropping,positive
jay,neutral
jealous,negative
jealously,negative
jealousness,negative
jealousy,negative
jeans,neutral
jeep,neutral
jeer,negative
jeering,negative
jeeringly,negative
jeers,negative
jelly,neutral
jenny,neutral
jeopardize,negative
jeopardy,negative
jerk,negative
jerky,negative
jersey,neutral
jest,positive
jester,neutral
jesus,positive
jet,neutral
jetty,neutral
jeweler,neutral
jewelry,neutral
jewels,positive
jib,neutral
jiffy,neutral
jimmy,neutral
jingle,neutral
jitter,negative
jitters,negative
jittery,negative
job,positive
job-killing,negative
jobless,negative
jock,neutral
jockey,neutral
jocular,positive
jog,neutral
john,negative
join,positive
joined,positive
joining,neutral
joint,neutral
jointly,neutral
jokes,positive
joking,positive
jollify,positive
jolly,positive
jolt,negative
jornada,negative
jot,neutral
journal,neutral
journalist,positive
journey,positive
jovial,positive
joy,positive
joyful,positive
joyfully,positive
joyous,positive
joyously,positive
jubilant,positive
jubilantly,positive
jubilate,positive
jubilation,positive
jubilee,positive
jubiliant,positive
judder,negative
juddering,negative
judders,negative
judge,neutral
judgement,neutral
judgements,neutral
judging,neutral
judgment,neutral
judgments,neutral
judicial,positive
judicious,positive
jug,neutral
juggle,neutral
juggling,neutral
juice,neutral
juicy,neutral
jumble,negative
jumbled,neutral
jumbo,neutral
jump,positive
jumpy,negative
junction,neutral
juncture,neutral
junior,neutral
junk,negative
junky,negative
junkyard,negative
junta,negative
juridical,neutral
jurisdiction,neutral
just,positive
justice,positive
justifiable,positive
justifiably,positive
justification,positive
justified,positive
justly,positive
jute,neutral
jutter,negative
jutters,negative
juvenile,negative
juxtaposition,neutral
kaiser,neutral
kaleidoscope,neutral
kangaroo,neutral
kanji,neutral
kaput,negative
karma,neutral
kayak,neutral
keel,neutral
keenly,positive
keenness,positive
keeper,neutral
keeping,neutral
keepsake,positive
keg,neutral
kemp,positive
ken,positive
kern,negative
kernel,neutral
kettle,neutral
key,neutral
keyhole,neutral
keynote,positive
keystone,positive
khaki,neutral
kick,negative
kid-friendly,positive
kidding,neutral
kidnap,negative
kill,negative
killed,negative
killer,negative
killing,negative
killjoy,negative
kills,negative
kiln,neutral
kilogram,neutral
kilometer,neutral
kilt,neutral
kimono,neutral
kin,neutral
kind,positive
kinder,positive
kindergarten,neutral
kindliness,positive
kindly,positive
kindness,positive
kindred,positive
kinematics,neutral
king,positive
kingdom,neutral
kingmaker,positive
kink,neutral
kinky,neutral
kiosk,neutral
kirk,neutral
kiss,positive
kit,neutral
kitchen,neutral
kite,negative
kitten,positive
knack,positive
knapsack,neutral
knave,negative
knead,neutral
knee,neutral
kneel,neutral
kneeling,neutral
knell,negative
knew,neutral
knight,positive
knit,neutral
knob,neutral
knoll,neutral
knot,neutral
knotted,negative
know,neutral
knowingly,neutral
knowledgeable,positive
knuckle,neutral
kook,negative
kooky,negative
kos,neutral
kris,neutral
kudos,positive
lab,neutral
labor,positive
laboratory,neutral
labored,negative
laborer,neutral
laboring,neutral
laborious,negative
labyrinth,negative
lac,neutral
lack,negative
lackadaisical,negative
lacked,negative
lackey,negative
lackeys,negative
lacking,negative
lackluster,negative
lacks,negative
laconic,negative
lacquer,neutral
lacrosse,neutral
lad,neutral
ladder,neutral
laden,negative
lading,neutral
ladle,neutral
lady,neutral
lag,negative
lagged,negative
lagging,negative
laggy,negative
lagoon,neutral
lags,negative
laid-off,negative
lair,negative
laity,neutral
lake,neutral
lama,neutral
lamb,positive
lambast,negative
lambaste,negative
lame,negative
lame-duck,negative
lament,negative
lamentable,negative
lamentably,negative
lamina,neutral
laminated,neutral
lamp,neutral
lance,neutral
lancer,neutral
land,positive
landed,positive
landing,neutral
landlocked,neutral
landlord,neutral
landmark,positive
lands,neutral
landscape,neutral
landscaping,neutral
landslide,negative
lane,neutral
language,neutral
languid,negative
languish,negative
languishing,negative
languor,negative
languorous,negative
languorously,negative
lantern,neutral
lap,neutral
lapel,neutral
lapse,negative
lapses,negative
larceny,negative
lard,neutral
larder,neutral
large-capacity,positive
large-scale,neutral
largely,neutral
largo,neutral
larva,neutral
larynx,neutral
lascivious,negative
laser,positive
lash,negative
lass,neutral
lasso,neutral
last-ditch,negative
lasting,neutral
lastly,neutral
latch,neutral
late,negative
latency,negative
lateness,negative
latent,negative
lateral,neutral
laterally,neutral
latex,neutral
lathe,neutral
lather,neutral
latitude,neutral
latrines,negative
lattice,neutral
laud,positive
laudable,positive
laudably,positive
laughable,negative
laughably,negative
laughed,positive
laughing,positive
laughingstock,negative
laughs,positive
laughting,positive
launch,positive
launched,positive
laundry,neutral
laureate,positive
laurel,positive
laurels,positive
lava,negative
lavage,neutral
lavender,neutral
lavish,positive
lavishly,positive
law-abiding,positive
lawbreaker,negative
lawbreaking,negative
lawful,positive
lawfully,positive
lawl,positive
lawless,negative
lawlessness,negative
lawn,neutral
lawsuit,negative
lawsuits,negative
lawyer,negative
lax,negative
laxative,negative
lay,neutral
layer,neutral
layered,neutral
layman,neutral
layoff,negative
layoff-happy,negative
lazy,negative
lea,neutral
lead,positive
leader,positive
leading,positive
leaf,neutral
leaflet,neutral
leafy,neutral
league,positive
leak,negative
leakage,negative
leakages,negative
leaked,negative
leaking,negative
leaks,negative
leaky,negative
leaned,neutral
leap,neutral
learner,neutral
learning,positive
lease,neutral
leash,neutral
least,negative
leather,neutral
leathery,neutral
leave,negative
lech,negative
lecher,negative
lecherous,negative
lechery,negative
lecturer,positive
led,positive
ledge,neutral
ledger,neutral
lee,neutral
leech,negative
leeches,negative
leer,negative
leery,negative
lees,neutral
leeway,positive
left,neutral
left-leaning,negative
leg,neutral
legacies,neutral
legacy,neutral
legal,positive
legalistic,neutral
legality,neutral
legalize,neutral
legalized,positive
legend,neutral
legendary,positive
legibility,positive
legible,positive
legion,neutral
legislate,neutral
legislation,neutral
legislative,neutral
legitimacy,positive
legitimate,positive
legitimately,positive
legs,neutral
legume,neutral
leisure,positive
leisurely,positive
lemma,positive
lemon,negative
lend,neutral
lending,neutral
length,neutral
lengthen,neutral
lengthened,neutral
lengthening,neutral
lengthwise,neutral
leniency,neutral
lenient,positive
leniently,positive
lens,neutral
leopard,neutral
leprosy,negative
lesbian,negative
lesbianism,neutral
less,negative
less-developed,negative
less-expensive,positive
lessee,neutral
lessen,negative
lessening,neutral
lesser,negative
lesser-known,negative
lesson,positive
